name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,Location,Color,Drivetrain
ritz,2014,335000,27000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
sx4,2013,475000,43000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ciaz,2017,725000,6900,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
wagon r,2011,285000,5200,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
swift,2014,459999,42450,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
vitara brezza,2018,925000,2071,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ciaz,2015,675000,18796,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
s cross,2015,650000,33429,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ciaz,2016,875000,20273,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ciaz,2015,745000,42367,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
alto 800,2017,285000,2135,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ciaz,2015,685000,51000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ciaz,2015,750000,15000,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ertiga,2015,610000,26000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
dzire,2009,225000,77427,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ertiga,2016,775000,43000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ertiga,2015,725000,41678,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
wagon r,2015,325000,35500,CNG,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
sx4,2010,265000,41442,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
alto k10,2016,285000,25000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ignis,2017,490000,2400,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
sx4,2011,440000,50000,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
alto k10,2014,250000,45280,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
wagon r,2013,290000,56879,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
swift,2011,300000,20000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
swift,2013,415000,55138,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
swift,2017,600000,16200,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
alto k10,2010,195000,44542,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ciaz,2015,745000,45000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ritz,2012,310000,51439,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ritz,2011,235000,54200,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
swift,2014,495000,39000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
ertiga,2014,600000,45000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
dzire,2014,550000,45000,Diesel,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
sx4,2011,295000,49998,CNG,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
dzire,2015,465000,48767,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
800,2003,35000,127000,Petrol,Individual,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
alto k10,2016,300000,10079,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
sx4,2003,225000,62000,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
baleno,2016,585000,24524,Petrol,Dealer,Automatic,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
alto k10,2014,254999,46706,Petrol,Dealer,Manual,0,18.9,1248,74.0,190.0,5.0,Unknown,Others,Unknown
